Model,Variable,Rank,SHAP_Importance,Scenario
KNN,Fz,1,0.2199019607843138,Raw_Data_Scenario
KNN,Tz,2,0.20441176470588232,Raw_Data_Scenario
KNN,Tx,3,0.1504901960784313,Raw_Data_Scenario
KNN,Ty,4,0.14872549019607845,Raw_Data_Scenario
KNN,Fy,5,0.12696078431372543,Raw_Data_Scenario
KNN,Fx,6,0.09186274509803921,Raw_Data_Scenario
SVM,Fz,1,0.24862745098039218,Raw_Data_Scenario
SVM,Tx,2,0.14999999999999997,Raw_Data_Scenario
SVM,Tz,3,0.1207843137254902,Raw_Data_Scenario
SVM,Fx,4,0.1202941176470588,Raw_Data_Scenario
SVM,Ty,5,0.11509803921568629,Raw_Data_Scenario
SVM,Fy,6,0.05892156862745095,Raw_Data_Scenario
MLP,Fz,1,0.4108823529411766,Raw_Data_Scenario
MLP,Fx,2,0.17264705882352951,Raw_Data_Scenario
MLP,Ty,3,0.16715686274509806,Raw_Data_Scenario
MLP,Tz,4,0.14764705882352944,Raw_Data_Scenario
MLP,Tx,5,0.12686274509803924,Raw_Data_Scenario
MLP,Fy,6,0.11852941176470584,Raw_Data_Scenario
LightGBM,Fz,1,2.1644132757408383,Raw_Data_Scenario
LightGBM,Fx,2,0.8567505584656154,Raw_Data_Scenario
LightGBM,Fy,3,0.5599963671873448,Raw_Data_Scenario
LightGBM,Tx,4,0.5292390458651307,Raw_Data_Scenario
LightGBM,Ty,5,0.43260285882134014,Raw_Data_Scenario
LightGBM,Tz,6,0.33145886979697475,Raw_Data_Scenario
